LegalAddress,Coordinates
"115598, ГОРОД МОСКВА, УЛИЦА ЛИПЕЦКАЯ, 15, 2","(('37.688782'), ('55.581062'))"
"121615, город Москва, Рублевское шоссе, дом 24, корпус 3","(('37.428935'), ('55.745129'))"
"123181, ГОРОД МОСКВА, УЛИЦА ИСАКОВСКОГО, 29, 1","(('37.41944'), ('55.806803'))"
"121354, город Москва, Можайское ш., д.38, корп.7","(('37.411535'), ('55.721021'))"
"117279, ГОРОД МОСКВА, УЛИЦА ВВЕДЕНСКОГО, 28","(('37.532331'), ('55.636361'))"
"111141, г. Москва, ул. Перовская, д. 37.","(('37.778218'), ('55.746669'))"
"109462, ГОРОД МОСКВА, ПРОСПЕКТ ВОЛГОГРАДСКИЙ, ДОМ 66, КОРПУС 4","(('37.756919'), ('55.704448'))"
"115569, ГОРОД МОСКВА, ПРОЕЗД ШИПИЛОВСКИЙ, ДОМ 37, КОРПУС 2","(('37.697855'), ('55.613758'))"
"город Москва, Митинская улица, дом 48, корпус 2","(('37.357744'), ('55.850787'))"
"107150, г. Москва, ул. Лосиноостровская, д. 22А","(('37.709892'), ('55.825376'))"
"119361, г. Москва, ул. Большая Очаковская, д. 25","(('37.453504'), ('55.680047'))"
"117463, ГОРОД МОСКВА, ПРОЕЗД КАРАМЗИНА, ДОМ 13, КОРПУС 3","(('37.540389'), ('55.592088'))"
"125480, ГОРОД МОСКВА, УЛИЦА ВИЛИСА ЛАЦИСА, 33, 2","(('37.410097'), ('55.858594'))"
"107014, г. Москва, ул. Большая Оленья, д. 3","(('37.688135'), ('55.803767'))"
"105425, ГОРОД МОСКВА, УЛИЦА ПАРКОВАЯ 5-Я, ДОМ 51, ПОМ/ЭТ/КОМ №II/1/2-4,6-8","(('37.617644'), ('55.755819'))"
"129085, ГОРОД МОСКВА, ПРОСПЕКТ МИРА, 87","(('37.635107'), ('55.803646'))"
"123098, ГОРОД МОСКВА, УЛИЦА ГАМАЛЕИ, ДОМ 17, КОРПУС 1","(('37.457124'), ('55.8002'))"
"109652, ГОРОД МОСКВА, УЛИЦА ЛЮБЛИНСКАЯ, 173А","(('37.74869'), ('55.647676'))"
"117570, ГОРОД МОСКВА, УЛИЦА ДНЕПРОПЕТРОВСКАЯ, 33А","(('37.585377'), ('55.616778'))"
"119618, ГОРОД МОСКВА, УЛИЦА ГЛАВМОССТРОЯ, 28","(('37.40654'), ('55.65754'))"
"121614, ГОРОД МОСКВА, УЛИЦА КРЫЛАТСКИЕ ХОЛМЫ, 45, 2","(('37.413709'), ('55.762166'))"
"115035, ГОРОД МОСКВА, ПЕРЕУЛОК 1-Й КАДАШЁВСКИЙ, 3, СТР.1","(('37.621462'), ('55.744216'))"
"117292, ГОРОД МОСКВА, УЛИЦА КЕДРОВА, ДОМ 11","(('37.574327'), ('55.685092'))"
"108804, ГОРОД МОСКВА, ПОСЕЛЕНИЕ КОКОШКИНО, ДАЧНЫЙ ПОСЕЛОК КОКОШКИНО, УЛИЦА ДАЧНАЯ, ДОМ 3А","(('37.160797'), ('55.597821'))"
"107014, ГОРОД МОСКВА, УЛИЦА БАРБОЛИНА, ДОМ 1","(('37.684775'), ('55.789775'))"
"123592, Москва, ул. Маршала Катукова, д. 12, корп.3","(('37.402749'), ('55.807319'))"
"123060, ГОРОД МОСКВА, УЛИЦА МАРШАЛА РЫБАЛКО, ДОМ 14","(('37.487173'), ('55.799138'))"
"124617, г. Москва, г. Зеленоград, корпус 1469","(('37.155614'), ('55.987442'))"
"124482, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, УЛИЦА --------, 142","(('37.211911'), ('56.005873'))"
"115582, ГОРОД МОСКВА, ШОССЕ КАШИРСКОЕ, 116, 3","(('37.714815'), ('55.606761'))"
"123001, ГОРОД МОСКВА, ПЕРЕУЛОК ВСПОЛЬНЫЙ, 6, СТР.3","(('37.588808'), ('55.760292'))"
"117513, ГОРОД МОСКВА, УЛИЦА АКАДЕМИКА БАКУЛЕВА, 20","(('37.47571'), ('55.640472'))"
"127411, ГОРОД МОСКВА, УЛИЦА СОФЬИ КОВАЛЕВСКОЙ, ДОМ 8 А","(('37.53437'), ('55.88249'))"
"117148, ГОРОД МОСКВА, УЛИЦА МАРШАЛА САВИЦКОГО, ДОМ 6, КОРПУС 4","(('37.57899'), ('55.50338'))"
"115522, ГОРОД МОСКВА, УЛИЦА КАНТЕМИРОВСКАЯ, 22, 6","(('37.659982'), ('55.642225'))"
"105005, ГОРОД МОСКВА, ПЕРЕУЛОК ЛЕФОРТОВСКИЙ, ДОМ 10","(('37.677975'), ('55.769276'))"
"117405, ГОРОД МОСКВА, ШОССЕ ВАРШАВСКОЕ, 156Б","(('37.595168'), ('55.587687'))"
"119501, город Москва, улица Веерная, дом 5, корпус 3","(('37.474731'), ('55.706548'))"
"117587, ГОРОД МОСКВА, УЛИЦА КИРОВОГРАДСКАЯ, 18, 4","(('37.601268'), ('55.61781'))"
"125363, ГОРОД МОСКВА, УЛИЦА ШТУРВАЛЬНАЯ, ДОМ 7, КОРПУС 2","(('37.444027'), ('55.848316'))"
"119019, ГОРОД МОСКВА, ПЕРЕУЛОК ЗНАМЕНСКИЙ М., ДОМ 7/10, КОРПУС 5","(('37.604987'), ('55.74862'))"
"115114, ГОРОД МОСКВА, УЛИЦА ДЕРБЕНЕВСКАЯ, 13","(('37.649094'), ('55.721052'))"
"115477, ГОРОД МОСКВА, БУЛЬВАР КАВКАЗСКИЙ, 16, 2","(('37.665497'), ('55.633419'))"
"127051, ГОРОД МОСКВА, УЛИЦА ТРУБНАЯ, 36","(('37.625936'), ('55.772542'))"
"119602, ГОРОД МОСКВА, УЛИЦА НИКУЛИНСКАЯ, ДОМ 10","(('37.465011'), ('55.668935'))"
"125475, ГОРОД МОСКВА, УЛИЦА КЛИНСКАЯ, 22","(('37.490676'), ('55.871299'))"
"117216, ГОРОД МОСКВА, БУЛЬВАР ДМИТРИЯ ДОНСКОГО, ДОМ 14А","(('37.570608'), ('55.565376'))"
"109469, ГОРОД МОСКВА, УЛИЦА БЕЛОРЕЧЕНСКАЯ, ДОМ 36, КОРПУС 1","(('37.776278'), ('55.660546'))"
"119634, ГОРОД МОСКВА, УЛИЦА ШОЛОХОВА, 9","(('37.347665'), ('55.638866'))"
"117638, г. Москва, проспект Нахимовский, дом 6","(('37.609272'), ('55.664827'))"
"124575, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, КОРПУС 921А","(('37.186138'), ('55.984562'))"
"109145, ГОРОД МОСКВА, УЛИЦА ПРОНСКАЯ, 4, 1","(('37.84534'), ('55.701506'))"
"123592, ГОРОД МОСКВА, УЛИЦА КУЛАКОВА, ДОМ 12, КОРП 2","(('37.394871'), ('55.810395'))"
"109469, ГОРОД МОСКВА, УЛИЦА БЕЛОРЕЧЕНСКАЯ, 47, 1","(('37.776637'), ('55.662288'))"
"123007, ГОРОД МОСКВА, ШОССЕ ХОРОШЁВСКОЕ, 3","(('37.54241'), ('55.773601'))"
"111141, ГОРОД МОСКВА, УЛИЦА ПЕРОВСКАЯ, 44А","(('37.782135'), ('55.743198'))"
"123423, ГОРОД МОСКВА, УЛИЦА МАРШАЛА ТУХАЧЕВСКОГО, 17, 3","(('37.48384'), ('55.780507'))"
"127254,  г.  Москва,  улица  Яблочкова, дом 10","(('37.582412'), ('55.817426'))"
"117647, ГОРОД МОСКВА, УЛИЦА АКАДЕМИКА КАПИЦЫ, ДОМ 12","(('37.522531'), ('55.628977'))"
"117546, ГОРОД МОСКВА, ПРОЕЗД ХАРЬКОВСКИЙ, ДОМ 9Б","(('37.640084'), ('55.59163'))"
"125635, ГОРОД МОСКВА, УЛИЦА АНГАРСКАЯ, 22А","(('37.519234'), ('55.87438'))"
"125412, ГОРОД МОСКВА, ШОССЕ КОРОВИНСКОЕ, ДОМ 24А","(('37.521857'), ('55.882177'))"
"111675, ГОРОД МОСКВА, УЛИЦА ДМИТРИЕВСКОГО, ДОМ 13","(('37.89084'), ('55.710093'))"
"115612, ГОРОД МОСКВА, УЛИЦА БРАТЕЕВСКАЯ, ДОМ 8, КОРПУС 2","(('37.759282'), ('55.631346'))"
